id,nome,cor,padrao_emocional,impacto_espiritual
fungico,Sistema Fúngico,#7E8B5A,estagnação e desordem,perda de vitalidade e clareza
acido_inflamatorio,Sistema Ácido-Inflamatório,#B4553C,irritação e reatividade,bloqueio no plexo solar
metabolico,Sistema Metabólico,#C7A76C,vazio e falta de propósito,dessintonização do corpo como templo
detox_linfatico,Sistema Detox + Linfático,#4F7D8C,acúmulo de mágoas e emoções não processadas,bloqueio do fluxo
mental_emocional_espiritual,Sistema Mental-Emocional-Espiritual,#0E3A64,desconexão de si,queda de frequência geral
